year;пром_и_бизнес;апк;рхк;финансы;цифровизация;врп
2014;125.31;3645.0893;68.0023;1705.0826;0;283269.70
2015;372.5902;4576.5647;89.8625;1700.9419;0;336591.66
2016;159.0107;4576.5647;111.9394;1822.0514;0;417094.90
2017;426.36285;3538.99372;90.07084;1774.92947;0;446677.60
2018;704.0837;2879.6431;76.3823;1866.4163;0;493302.40
2019;1597.39246;2705.97228;64.3461;2315.63817;26.67144;520951.20
2020;1205.21565;2914.6396;79.47627;2194.25577;866.6172;549311.20
2021;1649.71824;2858.1247;131.42622;2233.0372;865.64996;683811.60
2022;0;3725.76362;176.85437;2677.42595;946.5122;738007.60
2023;0;5387.86657;206.9401;2639.12524;1048.85489;763167.34
